,duration_sec,start_date,start_station_id,end_station_id
0,2618,2015-09-24 17:22:00+00:00,83,83
1,5780,2015-12-06 10:52:00+00:00,83,83
2,9699,2015-08-01 19:59:00+00:00,9,9
3,10162,2015-08-01 19:51:00+00:00,9,9
4,2775,2015-08-08 16:37:00+00:00,9,9
5,320,2015-08-08 16:18:00+00:00,9,9
6,8377,2015-08-03 14:26:00+00:00,9,9
7,2844,2015-08-08 16:36:00+00:00,9,9
8,1484,2015-06-27 14:30:00+00:00,9,9
9,1518,2015-06-27 14:29:00+00:00,9,9
10,10159,2015-06-20 19:02:00+00:00,9,9
11,1512,2015-10-03 15:48:00+00:00,9,9
12,4051,2015-09-06 10:54:00+00:00,9,9
13,9213,2015-08-01 20:07:00+00:00,9,9
14,897,2015-07-27 11:33:00+00:00,9,9
15,8216,2015-08-30 10:00:00+00:00,9,9
16,9102,2015-08-01 20:09:00+00:00,9,9
17,359,2015-07-29 16:47:00+00:00,9,9
18,3998,2015-09-06 10:55:00+00:00,9,9
19,799,2015-07-27 11:34:00+00:00,9,9
20,505,2015-03-15 14:45:00+00:00,9,9
21,8217,2015-08-30 10:00:00+00:00,9,9
22,5348,2015-01-30 21:19:00+00:00,9,9
23,9104,2015-08-01 20:08:00+00:00,9,9
24,80,2015-10-16 14:52:00+00:00,9,9
25,831,2015-03-09 20:21:00+00:00,11,9
26,1764,2015-03-22 10:28:00+00:00,11,9
27,487,2015-04-22 18:54:00+00:00,11,9
28,2179,2015-03-22 10:25:00+00:00,11,9
29,2487,2015-03-22 10:21:00+00:00,11,9
30,477,2015-09-26 18:33:00+00:00,11,9
31,9412,2015-03-14 04:12:00+00:00,11,9
32,548,2015-09-05 15:57:00+00:00,11,9
33,774,2015-08-25 19:41:00+00:00,84,9
34,953,2015-04-04 12:54:00+00:00,84,9
35,434,2015-07-30 12:31:00+00:00,13,9
36,1516,2015-08-30 16:09:00+00:00,13,9
37,373,2015-10-16 12:42:00+00:00,13,9
38,405,2015-07-29 14:00:00+00:00,13,9
39,1160,2015-07-31 14:01:00+00:00,13,9
40,417,2015-10-16 12:42:00+00:00,13,9
41,1406,2015-08-30 16:09:00+00:00,13,9
42,383,2015-07-29 14:00:00+00:00,13,9
43,810,2015-07-27 13:01:00+00:00,6,9
44,757,2015-05-15 22:38:00+00:00,6,9
45,789,2015-07-04 13:06:00+00:00,6,9
46,825,2015-02-19 19:10:00+00:00,6,9
47,761,2015-05-02 14:55:00+00:00,6,9
48,417,2015-08-01 02:15:00+00:00,6,9
49,2981,2015-03-10 14:10:00+00:00,6,9
50,802,2015-07-04 13:06:00+00:00,6,9
51,3410,2015-04-29 16:44:00+00:00,6,9
52,832,2015-07-27 13:01:00+00:00,6,9
53,1559,2015-02-14 17:33:00+00:00,6,9
54,1168,2015-08-21 10:51:00+00:00,6,9
55,2932,2015-12-06 11:14:00+00:00,10,9
56,696,2015-02-20 17:13:00+00:00,10,9
57,800,2015-03-31 13:23:00+00:00,10,9
58,53178,2015-03-18 00:22:00+00:00,10,9
59,1213,2015-07-29 16:12:00+00:00,8,9
60,1022,2015-05-06 11:40:00+00:00,8,9
61,890,2015-05-06 11:42:00+00:00,8,9
62,1234,2015-07-29 16:12:00+00:00,8,9
63,724,2015-04-05 13:12:00+00:00,7,9
64,429,2015-05-11 21:32:00+00:00,7,9
65,460,2015-05-12 20:21:00+00:00,7,9
66,1327,2015-07-14 11:59:00+00:00,7,9
67,456,2015-05-14 20:25:00+00:00,7,9
68,582,2015-05-15 16:04:00+00:00,7,9
69,612,2015-05-12 11:57:00+00:00,7,9
70,784,2015-03-17 14:48:00+00:00,7,9
71,530,2015-05-12 16:19:00+00:00,7,9
72,4395,2015-07-19 12:20:00+00:00,7,9
73,4981,2015-07-19 12:10:00+00:00,7,9
74,864,2015-01-17 14:19:00+00:00,7,9
75,600,2015-05-10 19:53:00+00:00,7,9
76,1136,2015-07-14 12:02:00+00:00,7,9
77,717,2015-04-29 09:43:00+00:00,7,9
78,753,2015-04-05 13:12:00+00:00,7,9
79,677,2015-05-10 17:08:00+00:00,7,9
80,688,2015-04-02 10:58:00+00:00,3,9
81,777,2015-08-02 14:45:00+00:00,3,9
82,612,2015-05-13 20:29:00+00:00,3,9
83,894,2015-08-02 14:43:00+00:00,3,9
84,1048,2015-08-02 14:40:00+00:00,3,9
85,917,2015-08-15 16:58:00+00:00,3,9
86,721,2015-02-13 16:33:00+00:00,12,9
87,1123,2015-12-12 11:25:00+00:00,12,9
88,1078,2015-04-14 23:41:00+00:00,12,9
89,1120,2015-04-14 23:41:00+00:00,12,9
90,1101,2015-12-12 11:26:00+00:00,12,9
91,666,2015-06-17 18:22:00+00:00,12,9
92,2329,2015-04-26 14:35:00+00:00,14,9
93,1025,2015-11-12 18:38:00+00:00,14,9
94,2174,2015-04-26 14:37:00+00:00,14,9
95,1421,2015-05-13 11:00:00+00:00,80,9
96,990,2015-11-03 20:16:00+00:00,2,9
97,1792,2015-06-21 16:51:00+00:00,83,83
98,3972,2015-03-01 16:22:00+00:00,83,83
99,5502,2015-07-18 18:14:00+00:00,83,83
100,119940,2015-07-03 10:15:00+00:00,83,83
101,119932,2015-07-03 10:15:00+00:00,83,83
102,5564,2015-07-18 18:13:00+00:00,83,83
103,20586,2015-03-17 12:13:00+00:00,56,83
104,6951,2015-07-12 11:48:00+00:00,23,83
105,6943,2015-07-12 11:48:00+00:00,23,83
106,4037,2015-01-18 13:05:00+00:00,23,83
107,2410,2015-02-04 10:04:00+00:00,22,83
108,247,2015-05-11 22:33:00+00:00,22,83
109,3967,2015-03-22 12:38:00+00:00,9,11
110,3966,2015-03-22 12:39:00+00:00,9,11
111,1132,2015-03-15 14:54:00+00:00,9,11
112,700,2015-12-12 12:46:00+00:00,9,11
113,3914,2015-03-22 12:39:00+00:00,9,11
114,4870,2015-06-07 09:50:00+00:00,11,11
115,1798,2015-09-04 13:26:00+00:00,11,11
116,619,2015-02-20 13:33:00+00:00,11,11
117,2780,2015-04-22 09:28:00+00:00,11,11
118,131443,2015-02-14 01:07:00+00:00,11,11
119,3749,2015-05-25 17:00:00+00:00,11,11
120,4164,2015-09-09 13:52:00+00:00,11,11
121,14634,2015-08-15 17:05:00+00:00,11,11
122,3056,2015-10-22 15:56:00+00:00,11,11
123,2028,2015-06-06 22:52:00+00:00,11,11
124,3119,2015-03-30 16:52:00+00:00,11,11
125,7868,2015-05-10 12:52:00+00:00,11,11
126,1744,2015-05-08 12:05:00+00:00,11,11
127,14601,2015-08-15 17:05:00+00:00,11,11
128,2036,2015-06-06 22:52:00+00:00,11,11
129,3132,2015-03-30 16:52:00+00:00,11,11
130,4062,2015-09-09 13:51:00+00:00,11,11
131,40118,2015-06-07 09:49:00+00:00,11,11
132,1881,2015-11-13 15:35:00+00:00,11,11
133,1872,2015-04-11 01:59:00+00:00,11,11
134,3956,2015-07-19 16:14:00+00:00,11,11
135,4011,2015-07-19 16:14:00+00:00,11,11
136,4364,2015-07-19 16:08:00+00:00,11,11
137,2865,2015-01-03 15:33:00+00:00,11,11
138,554,2015-03-24 12:56:00+00:00,84,11
139,812,2015-02-22 12:51:00+00:00,84,11
140,1602,2015-02-14 13:00:00+00:00,84,11
141,413,2015-03-25 17:58:00+00:00,84,11
142,812,2015-02-22 12:51:00+00:00,84,11
143,1055,2015-08-20 16:57:00+00:00,13,11
144,339,2015-03-27 13:13:00+00:00,13,11
145,313,2015-03-27 13:13:00+00:00,13,11
146,311,2015-03-25 07:59:00+00:00,13,11
147,1887,2015-06-20 16:12:00+00:00,13,11
148,1073,2015-08-20 16:56:00+00:00,13,11
149,2013,2015-06-20 16:10:00+00:00,13,11
150,1894,2015-06-20 16:12:00+00:00,13,11
151,1096,2015-08-20 16:58:00+00:00,13,11
152,553,2015-05-13 21:27:00+00:00,5,11
153,2229,2015-10-15 15:32:00+00:00,5,11
154,2410,2015-10-15 15:29:00+00:00,5,11
155,812,2015-11-14 10:08:00+00:00,5,11
156,571,2015-05-13 21:27:00+00:00,5,11
157,1699,2015-01-16 19:14:00+00:00,5,11
158,2010,2015-10-15 15:35:00+00:00,5,11
159,1817,2015-03-27 15:03:00+00:00,6,11
160,2389,2015-08-13 19:13:00+00:00,6,11
161,619,2015-02-14 14:13:00+00:00,6,11
162,2026,2015-02-20 15:14:00+00:00,6,11
163,2403,2015-08-13 19:13:00+00:00,6,11
164,1815,2015-03-27 15:03:00+00:00,6,11
165,3864,2015-08-17 11:11:00+00:00,6,11
166,693,2015-05-06 11:41:00+00:00,6,11
167,4686,2015-03-01 13:02:00+00:00,6,11
168,1752,2015-03-22 00:54:00+00:00,6,11
169,7490,2015-07-26 15:16:00+00:00,10,11
170,1592,2015-10-27 07:22:00+00:00,10,11
171,1538,2015-09-21 09:18:00+00:00,8,11
172,1508,2015-08-02 00:44:00+00:00,7,11
173,1721,2015-08-02 00:40:00+00:00,7,11
174,1765,2015-11-02 16:06:00+00:00,3,11
175,1566,2015-06-17 18:36:00+00:00,3,11
176,847,2015-11-20 13:01:00+00:00,3,11
177,266,2015-10-17 09:05:00+00:00,3,11
178,2650,2015-07-10 15:05:00+00:00,3,11
179,449,2015-03-30 19:09:00+00:00,3,11
180,1637,2015-11-22 14:42:00+00:00,3,11
181,1927,2015-02-20 12:52:00+00:00,3,11
182,624,2015-02-20 15:37:00+00:00,12,11
183,1462,2015-08-20 13:20:00+00:00,12,11
184,547,2015-07-12 13:14:00+00:00,12,11
185,468,2015-05-05 12:24:00+00:00,4,11
186,822,2015-04-13 17:34:00+00:00,4,11
187,540,2015-09-26 17:45:00+00:00,4,11
188,645,2015-09-10 13:50:00+00:00,4,11
189,1126,2015-07-31 09:32:00+00:00,14,11
190,415,2015-04-26 15:50:00+00:00,16,11
191,440,2015-04-26 15:50:00+00:00,16,11
